,names,type,urls,status,owner/org_type,address,owner_or_clerk,filing_date
283,"MAINELYI, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20120209DC,ADMINISTRATIVELY DISSOLVED,LIMITED LIABILITY COMPANY   (DOMESTIC),"145 MAIN STREET , BIDDEFORD, ME 04005",NICK BERTHIAUME,07/21/2011
284,"MAINE-LY JEEPS, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20120453DC,ADMINISTRATIVELY DISSOLVED,LIMITED LIABILITY COMPANY   (DOMESTIC),"27 HIX RD , WINDSOR, ME 04363",SUZANNE M HIX,08/10/2011
285,"MAINELY JEWELS, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19942045+D,ADMINISTRATIVELY SUSPENDED,BUSINESS CORPORATION,"ONE PORTLAND SQUARE , P.O. BOX 586, PORTLAND, ME 04112 0586",GREGORY S. FRYER,04/13/1994
286,MAINELY JORDAN PROPERTIES LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20195671DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"33 QUINCY DRIVE , GORHAM, ME 04038",GARY JORDAN,03/27/2019
287,"MAINELY JUNK REMOVAL & DELIVERY SERVICES, LLC",FORMER,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20190825+D,GOOD STANDING,BUSINESS CORPORATION,"29 FENDERSON HILL RD. , WILTON, ME 04294",BENJAMIN CUNNINGHAM,06/13/2017
288,MAINELY JUST-US UNLIMITED INC.,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19990117ND,ADMINISTRATIVELY DISSOLVED,NONPROFIT CORPORATION       (T13-B),"PO BOX 2025 , WATERVILLE, ME 04903",RICHARD E. SUYDAM,09/14/1998
289,MAINELY K9,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20150250+D,DISSOLVED,BUSINESS CORPORATION,"HALE AND HAMLIN , 4 STATE STREET, ELLSWORTH, ME 04605",JUSTIN BENNETT,10/01/2014
290,"MAINELY KIDS & TEENS, LLC",FORMER,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20153776DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"ONE CUMBERLAND PLACE, SUITE 116 , BANGOR, ME 04401",JEFF BATEMAN,03/31/2015
291,MAINELY KIDS CHILD CARE & PRESCHOOL,ASSUMED,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20060577+D,ADMINISTRATIVELY DISSOLVED,BUSINESS CORPORATION,"53 JOHNSON ROAD , FALMOUTH, ME 04105","BAQAR NAQVI, PRESIDENT",10/04/2005
292,MAINELY KIDS CHILDCARE & PRESCHOOL,MARK,https://icrs.informe.org/nei-sos-icrs/ICRS?MarkSumm=20060296+M,EXPIRED,CORPORATION,"325 U.S. ROUTE 1, FALMOUTH, ME 04105",MAINELY KIDS CHILD CARE,06/02/2006
293,"MAINELY KIDS, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20042360+D,ADMINISTRATIVELY DISSOLVED,BUSINESS CORPORATION,"45 SCHOOL STREET , GARDINER, ME 04035","HANNAH L. GREGORY, PRESIDENT",05/05/2004
294,MAINELY KIDS,MARK,https://icrs.informe.org/nei-sos-icrs/ICRS?MarkSumm=19920197+M,EXPIRED,CORPORATION,"2320 CONGRESS STREET, PORTLAND, ME 04102",PORTLAND BROADCASTING INC.,03/18/1992
295,"MAINELY KIDZ PT, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20052533+D,GOOD STANDING,BUSINESS CORPORATION,"62 PORTLAND ROAD , SUITE 25, KENNEBUNK, ME 04043",SCOTT M. EDMUNDS,05/31/2005
296,"MAINELY KIND CANNABIS COMPANY, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20191023DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"11 PARK STREET , WATERVILLE, ME 04901","CHARLES T. FERRIS, ESQ.",08/16/2018
297,MAINELY KNOWLES LOBSTER,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20160127+D,DISSOLVED,BUSINESS CORPORATION,"P.O. BOX 1401,   ,  BANGOR, ME 04402 1401",PAUL R. BROWN,08/12/2015
298,"MAINELY-KNOBS, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20071418DC,CANCELLED,LIMITED LIABILITY COMPANY   (DOMESTIC),"280 FRONT STREET , BATH, ME 04530",CARL W. STINSON,11/17/2006
299,"MAINELYKNOBS, LLC",FORMER,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20051645DC,CANCELLED,LIMITED LIABILITY COMPANY   (DOMESTIC),"280 FRONT STREET , BATH, ME 04530",CARL W. STINSON,12/13/2004
300,"CARRIERS MAINELY LOBSTER, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20100827+D,GOOD STANDING,BUSINESS CORPORATION,"27 CHICKADEE LANE , ORLAND, ME 04425","WILLIAM CARRIER, JR.",03/17/2010
301,MAINELY LINENS,MARK,https://icrs.informe.org/nei-sos-icrs/ICRS?MarkSumm=19930167+M,EXPIRED,INDIVIDUAL,"8 TERRACE COURT , NORTHPORT, NY 11768",LARRY FRATELLO,01/25/1993
302,MAINELY LOBSTAH CO. INC.,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20130673+D,ADMINISTRATIVELY DISSOLVED,BUSINESS CORPORATION,"4 FOXHILL DRIVE , FOXBORO, MA 02035","KEVIN R. TORTORELLA, PRESIDENT",03/04/2013
303,"MAINE-LY LAKEFRONT PROPERTIES, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20132467DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"ONE CENTER STREET,   ,  WATERVILLE, ME 04901",DANIEL J DUBORD,01/22/2013
304,MAINE-LY LAND DEVELOPERS INC.,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19891010+D,GOOD STANDING,BUSINESS CORPORATION,"401 MAIN STREET APT.102 , BIDDEFORD, ME 04005",DAVID A. DUNN,10/26/1988
305,"MAINE-LY LEGGINS PLUS, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20181140DC,ADMINISTRATIVELY DISSOLVED,LIMITED LIABILITY COMPANY   (DOMESTIC),"29 PERLEY STREET , LEWISTON, ME 04240","TINA SIBLEY, OWNER",08/28/2017
306,MAINE-LY LOBSTER INC.,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19861374+D,ADMINISTRATIVELY SUSPENDED,BUSINESS CORPORATION,"38 UNION ST. , ROCKLAND, ME 04841",STEPHEN A. LITTLE,01/30/1986
307,"MAINELY LAKE PROPERTIES, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20020130DC,ADMINISTRATIVELY DISSOLVED,LIMITED LIABILITY COMPANY   (DOMESTIC),"100 MIDDLE STREET , PO BOX 9729, PORTLAND, ME 04104 5029",DANIEL L. CROCKER,07/31/2001
308,MAINELY LAWNS,ASSUMED,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20190376DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"PO BOX 386 , JACKMAN, ME 04945",LEE SPANO,05/18/2016
309,MAINELY LEASING,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20021362+D,ADMINISTRATIVELY DISSOLVED,BUSINESS CORPORATION,"541 CONGRESS STREET , PORTLAND, ME 04101",LEO PELLETIER,01/31/2002
310,MAINELY LENDING LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20154024DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"188 DARTMOUTH STREET , PORTLAND, ME 04103",TIM LY,04/14/2015
311,MAINELY LETTERS AND LABELS,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19841857+D,ADMINISTRATIVELY SUSPENDED,BUSINESS CORPORATION,"640 MAIN ROAD NORTH , HAMPDEN, ME 04444",SHARON A. SHELLEY,05/14/1984
312,MAINELY LINGONBERRIES CORPORATION,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19990266ND,ADMINISTRATIVELY SUSPENDED,NONPROFIT CORPORATION       (T13-B),"BOX 100N HCR 74 , WHITING, ME 04691",REINALD S. NIELSEN,01/07/1999
313,"MAINELY LIQUIDATIONS, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20110671DC,ADMINISTRATIVELY DISSOLVED,LIMITED LIABILITY COMPANY   (DOMESTIC),"43 GREEN STREET , STE. 202, BIDDEFORD, ME 04005",J.P. MALIC,09/09/2010
314,MAINELY LIVING LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20194788DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"175 EXCHANGE STREET , SUITE 200, BANGOR, ME 04401","JEFFREY P. RUSSELL, ESQ.",02/19/2019
315,"MAINELY LIVING, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20063928DC,ADMINISTRATIVELY DISSOLVED,LIMITED LIABILITY COMPANY   (DOMESTIC),"P.O. BOX 56 , 18 WATER ST., THOMASTON, ME 04861",JAMES W. STRONG,06/23/2006
316,"MAINELY LOBSTER AND SEAFOOD, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20041235+D,GOOD STANDING,BUSINESS CORPORATION,"PO BOX 214 , OWLS HEAD, ME 04854",CHRISTINA L WOODMAN,12/31/2003
317,MAINELY LOBSTER CAFE LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20183650DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"20 WELLSTONE DRIVE , PORTLAND, ME 04103",BAMBI MORGAN DELATTRE,01/18/2018
318,"MAINELY LOBSTER, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20192367DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"P.O. BOX 4510,   ,  PORTLAND, ME 04112 4510",JEFFREY B HERBERT,10/23/2018
319,MAINELY LOBSTER,MARK,https://icrs.informe.org/nei-sos-icrs/ICRS?MarkSumm=19950056+M,EXPIRED,INDIVIDUAL,"5 MADELYN AVENUE , TOPSHAM, ME 04086",MICHAEL JOSEPH TOCZYLOWSKI,09/19/1994
320,"MAINELY LOCAL, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19850572+D,ADMINISTRATIVELY SUSPENDED,BUSINESS CORPORATION,"PO BOX 338 , KENNEDY MEMORIAL DR., OAKLAND, ME 04963",BERTRAM MARSTON,10/05/1984
321,"MAINELY LOGGING, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20101271DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"PO BOX 189 , SKOWHEGAN, ME 04976",PHILIP MOHLAR,11/24/2009
322,MAINELY LOGISTICS LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20186265DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"398 POND RD , SIDNEY, ME 04330",SEAN GRIMSHAW,05/08/2018
323,MAINELY LOUD LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20197826DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"315 HATCHET MOUNTAIN RD,   ,  HOPE, ME 04847","UNITED STATES CORPORATION AGENTS, INC.",06/19/2019
324,"MAINELY-LOU, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20124098DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"PO BOX 98 , HARRISON, ME 04040",THOMAS F SMITH,06/29/2012
325,"PETS MAINELY, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20155315DC,ADMINISTRATIVELY DISSOLVED,LIMITED LIABILITY COMPANY   (DOMESTIC),"315 HATCHET MOUNTAIN RD,   ,  HOPE, ME 04847","UNITED STATES CORPORATION AGENTS, INC.",06/24/2015
326,THE MAINELY LOCAL STORE INC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20121159+D,ADMINISTRATIVELY DISSOLVED,BUSINESS CORPORATION,"7 WOOD AVENUE , ELIOT, ME 03903",MICHAEL HIGGINS,06/20/2012
327,MAINE LYMAN CORP.,FORMER,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19790393+D,GOOD STANDING,BUSINESS CORPORATION,"PO BOX 56 , THOMASTON, ME 04861 0056",JAMES W. STRONG,09/21/1978
328,MAINE LYMPHEDEMA NETWORK,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20000271ND,ADMINISTRATIVELY DISSOLVED,NONPROFIT CORPORATION       (T13-B),"RR 1 BOX 259A , PENOBSCOT, ME 04476",MAUREEN GIFFIN,01/25/2000
329,"MAINE-LY MARINE SALES & SERVICE, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19971629+D,GOOD STANDING,BUSINESS CORPORATION,"P.O. BOX 1177 , WINDHAM, ME 04062","LAURENCE P. MINOTT, JR., ESQ.",01/31/1997
330,"MAINE-LY MARINE, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19901227+D,ADMINISTRATIVELY SUSPENDED,BUSINESS CORPORATION,"374 MAIN STREET , LEWISTON, ME 04240",WESTON BAKER,12/29/1989
331,"MAINE-LY MEATBALLS, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20142514DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"41 MYRTLE STREET #1 , WESTBROOK, ME 04092",JEAN KRULL,01/30/2014
332,"MAINE-LY MOBILE HOME FINANCING, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19900635+D,ADMINISTRATIVELY DISSOLVED,BUSINESS CORPORATION,"PO BOX 11 , AUBURN, ME 04212 0011",ROBERT L. BLACKMAN JR.,10/02/1989
333,MAINE-LY MODERN PROPERTY MANAGEMENT AND CONSTRUCTION LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20131734DC,ADMINISTRATIVELY DISSOLVED,LIMITED LIABILITY COMPANY   (DOMESTIC),"315 HATCHET MOUNTAIN RD,   ,  HOPE, ME 04847","UNITED STATES CORPORATION AGENTS, INC.",11/27/2012
334,"MAINE-LY MOISTURE CONTROL, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20090122DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"17 FOSTER LANE , MONMOUTH, ME 04259",DEBORA L. B. FARRELL,07/11/2008
335,"MAINE-LY MUNCHIES, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20111122+D,GOOD STANDING,BUSINESS CORPORATION,"5 LINCOLN STREET,   ,  DOVER-FOXCROFT, ME 04426",TONYA H. JOHNSON,05/05/2011
336,"MAINE-LY MUSCLE AND FITNESS, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19940494+D,DISSOLVED,BUSINESS CORPORATION,"P.O. BOX 699 , UNITY, ME 04988",JOHN L. CARVER,09/21/1993
337,MAINE-LY MUSIC MINISTRY,FORMER,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19840198ND,DISSOLVED,NONPROFIT CORPORATION       (T13-B),"75 PEARL STREET , SUITE 213, PORTLAND, ME 04112",STEPHEN C. WHITING,12/15/1983
338,"MAINELY MAC, INCORPORATED",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20000637+D,DISSOLVED,BUSINESS CORPORATION,"38 BLACKTHORNE LANE , GRAY, ME 04039",MARC L. RUBINSTEIN,10/08/1999
339,MAINELY MAHER BROTHERS LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20200337DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"315 HATCHET MOUNTAIN RD,   ,  HOPE, ME 04847","UNITED STATES CORPORATION AGENTS, INC.",07/16/2019
340,MAINELY MAHER BROTHERS RENTALS LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20194910DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"415 CONGRESS STREET, STE 202A,   ,  PORTLAND, ME 04101",NORTHWEST REGISTERED AGENT LLC,02/22/2019
341,MAINELY MAINTENANCE INC.,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20170388+D,ADMINISTRATIVELY DISSOLVED,BUSINESS CORPORATION,"315 HATCHET MOUNTAIN RD,   ,  HOPE, ME 04847",MARY  BERRY,11/21/2016
342,"MAINELY MALENFANT RENTAL PROPERTIES, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20192844DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"84 MARGINAL WAY , #600, PORTLAND, ME 04101",DOUGLAS K. GINN,11/21/2018
343,"MAINELY MANAGEMENT, INC.",FORMER,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19852200+D,GOOD STANDING,BUSINESS CORPORATION,"PO BOX 15235,   ,  PORTLAND, ME 04112 5235",DAVID C. PIERSON,06/06/1985
344,"MAINELY MAPLE, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20113162DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"185 BURRILL HILL ROAD , NORRIDGEWOCK, ME 04957",BRUCE BURTON,04/27/2011
345,"MAINELY MAPS, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20160553+D,GOOD STANDING,BUSINESS CORPORATION,"541 CONGRESS STREET , PORTLAND, ME 04101",LEO C. PELLETIER,01/07/2016
346,MAINELY MARINE MAINTENANCE,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20032193+D,ADMINISTRATIVELY DISSOLVED,BUSINESS CORPORATION,"PO BOX 7206,   ,  PORTLAND, ME 04112 7206",NICHOLAS H. WALSH,05/15/2003
347,"MAINELY MARINE SERVICES, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20143288DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"PO BOX 580 , CASTINE, ME 04421",LANCE BURTON,03/03/2014
348,MAINELY MARINE SERVICES,MARK,https://icrs.informe.org/nei-sos-icrs/ICRS?MarkSumm=20100066+M,ACTIVE,LTD. LIABILITY CO.,"PO BOX 580, CASTINE, ME 04421","MAINELY MARINE SERVICES, LLC",10/22/2009
349,MAINELY MARINE,MARK,https://icrs.informe.org/nei-sos-icrs/ICRS?MarkSumm=20100065+M,ACTIVE,INDIVIDUAL,"PO BOX 580 , CASTINE, ME 04421",LANCE BURTON,10/22/2009
350,MAINELY MARKETING,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19861553+D,GOOD STANDING,BUSINESS CORPORATION,"BLAKE HILL ROAD , RR1, BOX 3130, MT. VERNON, ME 04352",GEORGE A. SMITH,02/26/1986
351,"MAINELY MARTIAL ARTS, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20131144DC,CANCELLED,LIMITED LIABILITY COMPANY   (DOMESTIC),"CURRIER & TRASK, P.A.,   55 NORTH STREET,  PRESQUE ISLE, ME 04769",RICHARD L. CURRIER,10/09/2012
352,"MAINELY MEAT BARBEQUES, LLC",FORMER,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20141024+D,GOOD STANDING,BUSINESS CORPORATION,"20 OAK STREET,   ,  ELLSWORTH, ME 04605",RICHARD C. CLEARY,04/01/2005
353,"MAINELY MEAT DREAMWOOD HILL, LLC",ASSUMED,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20113330DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"77 MOUNT DESERT STREET , BAR HARBOR, ME 04609","JAMES W.J. COLLIER, ESQ.",05/24/2011
354,"MAINELY MEATS, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19951898+D,ADMINISTRATIVELY SUSPENDED,BUSINESS CORPORATION,"470 EVERGREEN WOODS , BANGOR, ME 04401","SAMUEL W. LANHAM, JR.",03/20/1995
355,MAINELY MEATS,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20032114+D,ADMINISTRATIVELY DISSOLVED,BUSINESS CORPORATION,"117 MAIN STREET , EAST MILLINOCKET, ME 04430",MICHELE R. CHARETTE,05/12/2003
356,MAINELY MECHANICAL LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20134459DC,ADMINISTRATIVELY DISSOLVED,LIMITED LIABILITY COMPANY   (DOMESTIC),"9 WEST FOUNTAIN HILL ROAD , CASCO, ME 04015",PAUL BAILLARGEON,06/17/2013
357,"MAINELY MEDIA, LLC",FORMER,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20071767DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"POST OFFICE BOX 17555,   ,  PORTLAND, ME 04112 8555",BRUCE A. MCGLAUFLIN,12/22/2006
358,MAINELY MEDIA,ASSUMED,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20123359DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"P.O. BOX 662 , BATH, ME 04530 -066",DAVID R. WEISS,04/24/2012
359,MAINELY MEDICAL L.L.C.,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20191963DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"P.O. BOX 868 , PORTSMOUTH, NH 03802",RICHARD N. FOLEY,10/01/2018
360,MAINELY MEDICAL,MARK,https://icrs.informe.org/nei-sos-icrs/ICRS?MarkSumm=20200032+M,ACTIVE,LTD. LIABILITY CO.,"137 PLEASANT HILL ROAD, SCARBOROUGH, ME 04074",DIRIGO ENTERPRISES LLC,08/23/2019
361,MAINELY MEDICATED,ASSUMED,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20141173+D,ADMINISTRATIVELY DISSOLVED,BUSINESS CORPORATION,"64 BEECHNUT RIDGE LANE , BOWDOINHAM, ME 04008",DANIEL M JACKSON,06/10/2014
362,MAINELY MEMORIES,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20011908+D,ADMINISTRATIVELY DISSOLVED,BUSINESS CORPORATION,"204 WESTWOOD RD , GRAY, ME 04039",TRACY L.  MORTON,04/02/2001
363,MAINELY MEN,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20010014ND,GOOD STANDING,NONPROFIT CORPORATION       (T13-B),"50 JACKSON ST , PORTLAND, ME 04103",RUDY NARVAEZ,07/17/2000
364,"MAINELY MESH, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20151495DC,ADMINISTRATIVELY DISSOLVED,LIMITED LIABILITY COMPANY   (DOMESTIC),"315 HATCHET MOUNTAIN RD,   ,  HOPE, ME 04847","UNITED STATES CORPORATION AGENTS, INC.",10/23/2014
365,"MAINELY METRIC AUTO, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20082587DC,EXCUSED,LIMITED LIABILITY COMPANY   (DOMESTIC),"PO BOX 220 , ORONO, ME 04473 0220",MICHAEL H. GRIFFIN,02/27/2008
366,"MAINELY METROLOGY, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19940169+D,GOOD STANDING,BUSINESS CORPORATION,"P.O. BOX 559,   ,  WATERVILLE, ME 04903 0559",MICHAEL F. PHILLIPS,07/27/1993
367,"MAINELY MEXICAN, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20176109DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"PO BOX 782 , PRESQUE ISLE, ME 04769",LUKE M. ROSSIGNOL,06/05/2017
368,MAINELY MILKING INC.,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19940953+D,ADMINISTRATIVELY SUSPENDED,BUSINESS CORPORATION,"450 COBBOSSEE ROAD , MONMOUTH, ME 04259",JOEL MCCABE,11/29/1993
369,"MAINELY MINE TOO, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20060255DC,ADMINISTRATIVELY DISSOLVED,LIMITED LIABILITY COMPANY   (DOMESTIC),"P.O. BOX 328 , ST. AGATHA, ME 04772",KAREN A. TARDIF,07/25/2005
370,"MAINELY MINE, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20060254DC,CANCELLED,LIMITED LIABILITY COMPANY   (DOMESTIC),"P.O. BOX 328 , ST. AGATHA, ME 04772",KAREN A. TARDIF,07/25/2005
371,MAINELY MOBILE HOMES LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20165827DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"415 CONGRESS STREET, STE 202A,   ,  PORTLAND, ME 04101",REGISTERED AGENTS INC,06/16/2016
372,MAINELY MOBILE TECHNOLOGIES LLC,FORMER,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20042553+D,DISSOLVED,BUSINESS CORPORATION,"45 MEMORIAL CIRCLE,   ,  AUGUSTA, ME 04330",CORPORATION SERVICE COMPANY,04/20/2004
373,"MAINELY MOBILE-INSULATION & WEATHERIZATION SERVICES, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20163573DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"43 HIGHLAND HEIGHTS , WINTHROP, ME 04364",JENNIFER MOODY,03/02/2016
374,MAINELY MOLASSES,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20100360+D,ADMINISTRATIVELY DISSOLVED,BUSINESS CORPORATION,"P.O. BOX 559,   ,  WATERVILLE, ME 04903 0559","""TIMOTHY R. ODONNELL """,11/12/2009
375,MAINELY MOLDING & RESTORATION LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20061009DC,ADMINISTRATIVELY DISSOLVED,LIMITED LIABILITY COMPANY   (DOMESTIC),"449 WILDER HILL RD. , NORRIDGEWOCK, ME 04957",JEAN L. LANCASTER,10/03/2005
376,MAINELY MOMS,MARK,https://icrs.informe.org/nei-sos-icrs/ICRS?MarkSumm=20020222+M,EXPIRED,INDIVIDUAL,"117 PORTLAND STREET , SOUTH BERWICK, ME 03908",TRACY IRONS,04/22/2002
